title,content,description,publishedAt,source,url,Sentiment
Intel’s new 24-core CPU proves it hasn’t forgotten about gaming laptops,"With the big Copilot+ push last year and Intel’s radically new Lunar Lake range, it’d be easy to assume Intel forgot about gaming laptops. CES 2025 proves the company didn’t.
Several months after th… [+2015 chars]","Don't worry, Intel hasn't forgotten about gamers. And it has a new monster 24-core laptop CPU to prove it.",2025-01-06T14:00:52Z,Digital Trends,https://www.digitaltrends.com/computing/intels-new-24-core-cpu-proves-it-hasnt-forgotten-about-gaming-laptops/,Neutral
"Qualcomm's latest Snapdragon X shakes up the $600 Windows laptop market, brings AI to everyone — Here's why Intel should be worried",Qualcomm has announced its new Snapdragon X chip in Las Vegas at the Consumer Electronics Show (CES) 2025. The new chip is the fourth addition to the Snapdragon X Series of Windows on Arm PC chips. T… [+9526 chars],"Qualcomm has entered the affordable $600 laptop market with its new 8-core Snapdragon X processor, which should shake up the budget-class Windows laptop space.",2025-01-06T16:01:30Z,Windows Central,https://www.windowscentral.com/hardware/laptops/qualcomm-snapdragon-x-ces2025,Positive
Qualcomm’s Snapdragon X wants to make Arm-powered PCs cheaper,"Last year, Qualcomm announced the Snapdragon X Elite chipset. This chipset was designed to go up against the Apple Silicon, creating Arm-powered Windows PCs. For the most part, most of the Snapdragon… [+1068 chars]","Qualcomm has announced its latest Snapdragon X chipset which should enable more affordable Arm-powered PCs in the future.
The post Qualcomm’s Snapdragon X wants to make Arm-powered PCs cheaper appeared first on Phandroid.",2025-01-06T16:00:52Z,Phandroid - News for Android,https://phandroid.com/2025/01/06/qualcomms-snapdragon-x-wants-to-make-arm-powered-pcs-cheaper/,Positive
Nvidia RTX 5060 laptop GPU beats 4060 laptop by over 30% in leaked benchmark — performance gap stretches almost to 70% with the RTX 3060 mobile,Nvidia CEO Jensen Huang will take the stage at CES 2025 in five days. Many expect the chipmaker to unveil the RTX 50 (Blackwell) desktop family and potentially even laptop models. The RTX 5060 laptop… [+2618 chars],"A screenshot shows the RTX 5060 mobile GPU in 3DMark, outperforming the RTX 4060 by 32%.",2025-01-01T17:44:47Z,Tom's Hardware UK,https://www.tomshardware.com/pc-components/gpus/nvidia-rtx-5060-laptop-gpu-beats-4060-laptop-by-over-30-percent-in-leaked-benchmark-performance-gap-stretches-almost-to-70-percent-with-the-rtx-3060-mobile,Positive
AMD is conceding to Nvidia with the RX 9070 XT and FSR 4,"AMD revealed its long-awaited RDNA 4 architecture at CES 2025, but it arrived with more of a thud and less of a bang. Although the new RX 9070 XT and RX 9070 could make the list of the best graphics … [+2814 chars]","AMD is giving up the flagship battle with Nvidia, but there's still plenty to get excited about with the new RX 9070 XT.",2025-01-06T19:45:45Z,Digital Trends,https://www.digitaltrends.com/computing/amd-rx-9070-gpus-ces-2025/,Positive
"Zasper: A Modern and Efficient Alternative to JupyterLab, Built in Go","High Performance IDE Massive concurrency Inspired by Jupyter
Zasper is an IDE designed from the ground up to support massive concurrency. It provides a minimal memory footprint, exceptional speed, a… [+3756 chars]",Supercharged IDE for Data Science. Contribute to zasper-io/zasper development by creating an account on GitHub.,2025-01-02T05:55:20Z,Github.com,https://github.com/zasper-io/zasper,Positive
"Acer drops ""women and casual gamers"" gimmick for RTX 4050 gaming laptop with new 14, 15, 16, and 17-inch Nitro variants","I'm a big advocate for 14-inch gaming laptops, especially in recent years with globetrotting travels to events like IFA in Berlin, where Acer had previously made a bizarre decision to market its last… [+4997 chars]","This all-white 14-inch gaming laptop switches up its marketing within Acer's entry-level range, featuring NVIDIA RTX 4050 GPUs.",2025-01-06T19:45:10Z,Windows Central,https://www.windowscentral.com/hardware/laptops/acer-nitro-v-gaming-laptops-ces-2025,Positive
Dell is getting rid of its Precision PCs. Here's what will replace them.,"Dell unveiled a massive collection of PCs and monitors at CES 2025. The company also unveiled a new naming structure for its devices. With new names flying around and AI PCs galore, there's a lot to … [+4566 chars]",Dell just announced it Dell Pro Max 14 and Dell Pro Max 16 at CES. The laptops pair the latest Intel Core Ultra Series 2 processor with powerful graphics and are among the first devices under Dell's new branding.,2025-01-06T19:45:00Z,Windows Central,https://www.windowscentral.com/hardware/laptops/dell-is-getting-rid-of-its-precision-pcs-heres-what-will-replace-them,Positive
The first Tokyo Xtreme Racer in 18 years lands on Steam early access this month,"There is not long to go until you can rev your engines once more with an all new Tokyo Xtreme Racer game.
The upcoming release - which will mark the first series title in 18 years - will make its St… [+1936 chars]",There is not long to go until you can rev your engines once more with an all new Tokyo Xtreme Racer game. Read more,2025-01-06T12:25:44Z,Eurogamer.net,https://www.eurogamer.net/the-first-tokyo-xtreme-racer-in-18-years-lands-on-steam-early-access-this-month,Positive
AMD’s Ryzen AI Max is a one-of-a-kind graphics and AI powerhouse,"Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
AMD has launched wha… [+5435 chars]","AMD has launched what one executive called “the most advanced mobile X86 processor ever created” at CES 2025: The Ryzen AI Max and AI Max+, with absolutely massive capabilities to run graphics and AI workloads.




AMD is positioning this “Strix Halo” chip a…",2025-01-06T19:47:17Z,PCWorld,https://www.pcworld.com/article/2568079/amd-launches-ryzen-ai-max-a-graphics-and-ai-powerhouse.html,Positive
"CES 2025: The new tech we're expecting to see from Samsung, NVIDIA, LG and more in Las Vegas","If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","Time to get into the habit of writing ""2025"" instead of 2024, and the year may have just begun, but the Engadget team is already working hard for CES 2025. This weekend, many from the Engadget team will be flying to Las Vegas, where we’ll be covering tech’s b…",2025-01-03T20:22:37Z,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_407f1c3a-990c-4cff-9fb0-71199642f3eb,Neutral
"CES 2025: The press conferences and new tech we're expecting to see from Samsung, NVIDIA, LG and more","If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]","We're here! The Engadget CES 2025 team has mostly arrived in Las Vegas, where we’ll be covering tech’s biggest annual conference. Our war room is open, the team has been seeing products and the coverage will ramp up in just a few short hours. Still, the show …",2025-01-06T00:56:24Z,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d12ccc40-d297-486a-bdf6-cd9c96a15519,Neutral
"AMD's flagship Ryzen 9 9950X3D CPU thrashes Intel's best, and one exclusive feature makes all the difference","Calling the launch of AMD's Ryzen 7 9800X3D desktop CPU in November 2024 a success is an understatement; it sold out everywhere almost immediately, and it's still hard to find for a reasonable price … [+7670 chars]","AMD unveiled two new Ryzen 9 X3D desktop CPUs at CES 2025, with the flagship debuting ahead of any other chip on the market in terms of power. It also teased new RDNA 4 desktop GPUs, making it a great time to be a PC gamer.",2025-01-06T19:45:00Z,Windows Central,https://www.windowscentral.com/hardware/cpu-gpu-components/amd-ryzen-9-9950x3d-ces-announcement,Neutral
"What to expect from Nvidia, AMD, and Intel at CES 2025","Table of Contents
Table of Contents
What to expect from Intel at CES 2025
What to expect from AMD at CES 2025
What to expect from Nvidia at CES 2025
Qualcomm, laptops, monitors, and more
A lot … [+10286 chars]","Here are the potential big announcements to keep an eye on from Nvidia, AMD, Intel, and other computing brands at CES 2025.",2025-01-03T18:51:12Z,Digital Trends,https://www.digitaltrends.com/computing/ces-2025-what-to-expect-from-amd-nvidia-intel/,Neutral
This crazy RTX 4070 gaming laptop is uber cheap right now: $850,"Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
A new year, a new ga… [+1534 chars]","A new year, a new gaming laptop. If your machine is lagging behind and unable to play the latest games at anything higher than potato settings, now is the time to upgrade!




Why? Because this HP Victus 16 is on sale for $850 at Best Buy right now, an absol…",2025-01-02T15:17:59Z,PCWorld,https://www.pcworld.com/article/2566790/this-crazy-rtx-4070-gaming-laptop-is-uber-cheap-right-now-850.html,Positive
The next generation of PC graphics will kick off at CES 2025,"Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
The graphics card hy… [+7368 chars]","The graphics card hype train left the station weeks before CES 2025 kicks off in early January, with the launch of Intel’s $249 Arc B580 – the GPU we’ve begged for since the pandemic. But make no mistake: Intel decided to launch its second-gen Arc in December…",2025-01-02T11:30:00Z,PCWorld,https://www.pcworld.com/article/2556925/the-next-generation-of-pc-graphics-will-kick-off-at-ces-2025.html,Neutral
"The GPU, not the TPM, is the root of hardware DRM","Do you think streaming platforms and other entities that employ DRM schemes use the TPM in your computer to decrypt stuff? Well, the Free Software Foundation seems to think so, and adds Microsoft’s i… [+2515 chars]","Do you think streaming platforms and other entities that employ DRM schemes use the TPM in your computer to decrypt stuff? Well, the Free Software Foundation seems to think so, and adds Microsoft’s insistence on requiring a TPM for Windows 11 into the mix, bu…",2025-01-02T23:51:56Z,Osnews.com,https://www.osnews.com/story/141468/the-gpu-not-the-tpm-is-the-root-of-hardware-drm/,Neutral
Example of GPU-accelerated scientific computing with PyTorch,"Here's a fun little post I made because a friend asked me how PyTorch had things which were supported in the CUDA backend but not the MPS backend. I was once the sort of person who was on LessWrong, … [+9973 chars]","Published on January 1, 2025 11:01 PM GMTHere's a fun little post I made because a friend asked me how PyTorch had things which were supported in the CUDA backend but not the MPS backend. I was once the sort of person who was on LessWrong, would find the subj…",2025-01-01T23:01:04Z,Lesswrong.com,https://www.lesswrong.com/posts/zs5ZFtHmnCLBsd2A6/example-of-gpu-accelerated-scientific-computing-with-pytorch,Positive
Nvidia gives away five classic GPUs signed by CEO Jensen Huang personally — the first two are the GeForce 256 and GeForce 8800 Ultra,"Ahead of CES 2025, Nvidia is giving away five classic GPUs signed by CEO Jensen Huang. The trillion-dollar GPU giant has posted the first two GPU giveaways on X, featuring the GeForce 256 and GeForce… [+4171 chars]","Ahead of CES 2025, Nvidia is giving away five classic GPUs signed by CEO Jensen Huang.",2025-01-03T18:54:55Z,Tom's Hardware UK,https://www.tomshardware.com/pc-components/gpus/nvidia-gives-away-five-classic-gpus-signed-by-ceo-jensen-huang-personally-the-first-two-are-the-geforce-256-and-geforce-8800-ultra,Positive
Nvidia launches retro GPU giveaway ahead of CES,"Editor's take: In a nostalgic nod to its roots ahead of CES 2025, Nvidia has launched a giveaway campaign offering fans a chance to win five iconic GPUs from its storied history. The first prize is t… [+2766 chars]","The GeForce Greats competition kicked off with a post on X as Nvidia unveiled a framed GeForce 256 graphics card, complete with its original box, bearing the signature of CEO Jensen Huang. This piece of computing history, dating back to 1999, marks the beginn…",2025-01-03T11:56:00Z,TechSpot,https://www.techspot.com/news/106183-nvidia-launches-retro-gpu-giveaway-ahead-ces.html,Positive
Intel releases new GPU driver with Core N-series support and fixes for B-series GPUs,Intel has released a new graphics driver under versions 32.0101.6449 WHQL and 32.0101.6256 WHQL. It adds support for the upcoming Intel Core Processor N-series (their specs recently leaked in all det… [+4296 chars],Intel has a new graphics driver with support and optimizations for the refreshed Core Processor N-series chips and fixes for the B-series graphics cards. Read more...,2025-01-03T10:20:01Z,Neowin,https://www.neowin.net/news/intel-releases-new-gpu-driver-with-core-n-series-support-and-fixes-for-b-series-gpus/,Positive
AMD just gave us our first look at the Radeon RX 9070 XT and RX 9070 RDNA 4 GPUs and I am officially whelmed,"CES 2025 is officially underway, and the first of our big GPU hitters has broken ranks. Sort of. AMD's RDNA 4 graphics cards have long been anticipated, and now we've been given a preview of what to … [+3090 chars]","A preview rather than a full-on announcement, but it's a brief look at the next-gen GPU competition at least.",2025-01-06T19:46:10Z,PC Gamer,https://www.pcgamer.com/hardware/amd-just-gave-us-our-first-look-at-the-radeon-rx-9070-xt-and-rx-9070-rdna-4-gpus-and-i-am-officially-whelmed/,Positive
Lenovo LOQ 15 review: A solid entry-level gaming laptop,"Skip to contentType your search and hit enter
When you purchase through links in our articles, we may earn a small commission. This doesn't affect our editorial independence
.
At a glance<ul><li>A… [+14704 chars]","At a glanceExpert's Rating


Pros

<ul>
<li>A gaming laptop for $800</li>



<li>Lots of ports</li>



<li>Good build quality for the price range</li>
</ul>





Cons

<ul>
<li>Entry-level GPU</li>



<li>Slow CPU performance</li>



<li>Very low battery …",2025-01-03T14:00:00Z,PCWorld,https://www.pcworld.com/article/2565554/lenovo-loq-15-review-2.html,Neutral
Intel Claims Its Latest Arrow Lake Chips Boost Gaming Performance Beyond Gaming,"After a tumultuous 2024, Intel has much to do if it wants to regain its groove. The chipmakers first act of the new year is to unveil a wealth of new chips designed for enterprise and gaming laptops … [+3563 chars]",The new Intel Core Ultra 200H and 200HX in the Arrow Lake lineup are set to improve CPU performance for gaming and business laptops.,2025-01-06T14:00:34Z,Gizmodo.com,https://gizmodo.com/intel-claims-its-latest-arrow-lake-chips-boost-gaming-performance-beyond-gaming-2000544451,Positive
DF Weekly: What does the Switch 2 motherboard leak say about system performance?,"After a one week hiatus, Digital Foundry Direct Weekly returns! The truth is, we were hoping to rest the show for a second week but the barrage of Switch 2 leaks and news put paid to our plans to mor… [+8997 chars]","After a one week hiatus, Digital Foundry Direct Weekly returns! The truth is, we were hoping to rest the show for a second week but the barrage of Switch 2 leaks and news put paid to our plans to more casually ease ourselves into 2025. Kicking off the show is…",2025-01-06T16:00:00Z,Eurogamer.net,https://www.eurogamer.net/digitalfoundry-2025-df-weekly-what-does-the-switch-2-motherboard-leak-say-about-system-performance,Neutral
HP's new EliteBook Ultra is the true successor to the Dragonfly,"CES 2025 is here, and HP is bringing the heat with a new range of business laptops including a brand-new EliteBook Ultra powered by Intel Lunar Lake, which is very different from the Qualcomm model l… [+8757 chars]","HP is introducing new EliteBook laptops, workstations, and new desktop PCs for the home. Here's everything coming out of CES 2025.",2025-01-06T19:45:17Z,XDA Developers,https://www.xda-developers.com/hp-elitebook-ultra-g1i-ces-2025/,Positive
What Do You Want to See From Ubuntu in 2025?,"A new year has started, and who knows what kind of innovations and improvements it holds for for Ubuntu, which remains the world’s most used desktop Linux operating system.
We get 2 new releases of … [+3232 chars]","A new year has started, and who knows what kind of innovations and improvements it holds for for Ubuntu, which remains the world’s most used desktop Linux operating system. We get 2 new releases of Ubuntu each year, one in April and one in October. Plus, new …",2025-01-01T21:03:29Z,Omgubuntu.co.uk,https://www.omgubuntu.co.uk/2025/01/what-do-you-want-to-see-from-ubuntu-in-2025,Positive
Nvidia GeForce RTX 5080 appears to leak ahead of possible CES 2025 announcement,"<ul><li>Images purporting to be of the MSI Gaming Trio RTX 5080 appear online – but are quickly deleted</li><li>The images, if legitimate, support rumors that the RTX 5080 graphics card will be the f… [+2877 chars]",The retail packaging for the MSI Gaming Trio RTX 5080 appears to have leaked online.,2025-01-02T22:05:48Z,TechRadar,https://www.techradar.com/computing/gpu/nvidia-geforce-rtx-5080-appears-to-leak-ahead-of-possible-ces-2025-announcement,Neutral
"AMD announces Ryzen Z2 series processors for handhelds — more performance, better efficiency, coming soon","AMD announced the new Ryzen Z2 series of processors today at CES 2025, mostly ticking the boxes for what we already expected to see. The parts will launch during Q1 2025, with three models available.… [+2323 chars]","AMD announced its upcoming Ryzen Z2 line of processors at CES 2025, with the halo Z2 Extreme sporting an 8-core, 16-thread CPU and a 16 CU RDNA 3.5 GPU. The other two models are a step down in various ways and full specifications aren't yet available.",2025-01-06T20:39:32Z,Tom's Hardware UK,https://www.tomshardware.com/pc-components/cpus/amd-announces-ryzen-z2-series-processors-for-handhelds-more-performance-better-efficiency-coming-soon,Positive
"Deals: Apple Watch Series 10 $103 off, M4 Pro MacBook Pro $250 off, iPhone 16 cases, chargers, more","Alongside ongoing deals on M4 iPad Pro models at up to $300 off and a return all-time low on Twelve Souths awesome Find My wall charger, we have a new set of offers to take us into the weekend today.… [+4075 chars]","Alongside ongoing deals on models at up to $300 off and a return all-time low on Twelve South’s awesome Find My wall charger, we have a new set of offers to take us into the weekend today. Firstly, you’ll find open-box Apple Watch Series 10 models with full A…",2025-01-03T16:47:29Z,9to5Mac,https://9to5mac.com/2025/01/03/deals-apple-watch-series-10-m4-pro-macbook-pro/,Positive
"Deals: M4 iPad Pro $300 off, iPhone 15 Pro $470 off, Apple Watch, Twelve South PlugBug with Find My, more","A new year is here and we have a fresh batch of deals to scope out too. Alongside ongoing price drops across the Apple Watch Series 10 lineup, we are also now tracking up to $300 off select M4 iPad P… [+4365 chars]","A new year is here and we have a fresh batch of deals to scope out too. Alongside ongoing price drops across the Apple Watch Series 10 lineup, we are also now tracking up to as well as even lower pricing on Amazon premium renewed iPhone 15 Pro units at up to …",2025-01-02T16:45:19Z,9to5Mac,https://9to5mac.com/2025/01/02/deals-m4-ipad-pro-twelve-south-find-my/,Neutral
"Deals: AirPods Max up to $217 off, M4/Pro MacBook Pro up to $220 off, AirTags at $17.50 each, more","Alongside a host of exciting (and weird) new tech from CES 2025, we have a fresh batch of deals to scope out today. The Burton Goods Winter Clearance sale with up to 50% off its wonderful leather App… [+4940 chars]","Alongside a host of exciting (and weird) new tech from CES 2025, we have a fresh batch of deals to scope out today. The Burton Goods Winter Clearance sale with up to 50% off its wonderful leather Apple accessories is now live but we are also tracking M4 MacBo…",2025-01-06T16:45:16Z,9to5Mac,https://9to5mac.com/2025/01/06/deals-airpods-max-m4-pro-macbook-pro-airtags/,Positive
ByteDance devising $7bn cloud-based GPU strategy,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,2025-01-02T12:52:24Z,Yahoo Entertainment,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_77f0ab42-5770-4eb2-9315-f4f95125c6a1,Neutral
